id,base,autor,ano,obj_parametricos,bib_objetos,bib_compartilhada,mod_compartilhado,proj_centralizado,2d_cad,3d_rv,anexos,link,a_tempo,s_custos,a_conflitos,simulacao,simultaneo,classificacao,nD,nat_autor_1,nat_autor_2,nat_proposta,ferramenta,aplicacao,fase_projeto,fase_implantacao,fase_mantenca,fase_ME,fase_demolicao,cenario
1,acm,Parfouru S et al,2016,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,NAO,NAO,NAO,2,3D,Alemanha,Franca,DESCONHECIDA,composto,sistema de projeto,SIM,SIM,NAO,NAO,NAO,Usina
2,ieee,Kokorus M 3,2016,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,SIM,SIM,SIM,NAO,3,5D+,Alemanha,Canada,DESCONHECIDA,autocad,software de projeto,SIM,SIM,SIM,SIM,SIM,Subestacao
3,ieee,Santos Peres IC et al,2017,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,NAO,NAO,NAO,2,3D,Brasil,?,Brasil,unity,software de projeto,SIM,SIM,SIM,SIM,SIM,Subestacao
4,ieee,Atudori et al,2018,SIM,SIM,NAO,NAO,SIM,SIM,SIM,NAO,NAO,NAO,NAO,NAO,NAO,NAO,1,3D,Holanda,Romenia,DESCONHECIDA,revit e pls-cadd/tower,modelagem de projeto,SIM,SIM,NAO,NAO,NAO,Subestacao
5,ieee,Kokorus Mario et al,2018,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,SIM,NAO,NAO,2,3D,Alemanha,?,DESCONHECIDA,primtech/autocad,software de projeto,SIM,NAO,NAO,SIM,NAO,Subestacao
6,ieee,Wang L 3,2018,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,China,?,DESCONHECIDA,?,analise do tema,SIM,SIM,NAO,NAO,NAO,Engenharia de Energia
7,ieee,Guan L et al,2019,SIM,SIM,?,?,?,?,SIM,?,?,?,?,?,?,?,?,?,China,?,DESCONHECIDA,?,schema,SIM,SIM,SIM,SIM,SIM,Subestacao
8,ieee,Hu J et al,2019,SIM,SIM,?,?,?,SIM,SIM,SIM,SIM,NAO,NAO,SIM,SIM,?,1,3D,China,?,DESCONHECIDA,inovacao,modelagem de projeto,SIM,SIM,NAO,SIM,NAO,Subestacao
9,ieee,Moncada A 2,2019,SIM,SIM,SIM,NAO,NAO,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,NAO,2,5D-,Colombia,?,DESCONHECIDA,revit,modelagem de projeto,SIM,NAO,NAO,SIM,NAO,Subestacao
10,ieee,Zhenwei Y et al,2020,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,3,5D+,China,?,China,inovacao,software de projeto,SIM,SIM,NAO,NAO,NAO,Subestacao
11,ieee,Shao Z et al,2021,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,3,5D+,China,?,China,inovacao,software de projeto,SIM,SIM,SIM,SIM,SIM,Subestacao
12,ieee,Zhou L et al,2021,SIM,SIM,SIM,?,?,?,SIM,?,?,?,?,?,SIM,SIM,1,3D,China,?,China,inovacao,software de projeto,SIM,SIM,SIM,SIM,SIM,Subestacao
13,scopus,Cardoso A et al,2017,SIM,SIM,?,SIM,SIM,SIM,SIM,SIM,?,NAO,NAO,NAO,SIM,SIM,2,3D,Brasil,?,Brasil,composto,sistema de projeto,SIM,NAO,SIM,SIM,NAO,Subestacao
14,scopus,Junior MJA et al,2018,SIM,SIM,NAO,SIM,SIM,NAO,SIM,NAO,SIM,NAO,NAO,NAO,NAO,NAO,2,3D,Brasil,?,DESCONHECIDA,composto,acesso a informacao,NAO,NAO,SIM,SIM,NAO,Subestacao
15,scopus,Tang Q et al,2018,SIM,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM,SIM,SIM,NAO,NAO,2,5D,China,?,China,revit e composto,modelagem de projeto,SIM,NAO,NAO,NAO,NAO,Subestacao
16,scopus,Qi X et al,2019,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,China,?,China,?,schema,SIM,SIM,SIM,SIM,SIM,Subestacao
17,scopus,Ren C 3,2019,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,NAO,SIM,SIM,NAO,SIM,3,5D,China,?,China,revit,modelagem de projeto,SIM,NAO,NAO,NAO,NAO,Subestacao
18,scopus,Du C et al,2020,SIM,?,?,?,SIM,NAO,SIM,NAO,NAO,SIM,NAO,NAO,SIM,SIM,2,3D,China,?,China,inovacao (composto e revit),modelagem de projeto,SIM,SIM,NAO,SIM,NAO,Subestacao
19,scopus,Gan Yupeng 3,2020,SIM,NAO,NAO,SIM,SIM,NAO,SIM,NAO,NAO,SIM,SIM,SIM,SIM,SIM,3,5D+,China,?,China,inovacao (composto e revit),software de projeto,SIM,SIM,SIM,SIM,SIM,Subestacao
20,scopus,Guan L et al,2020,SIM,?,?,?,?,?,SIM,?,?,?,?,?,?,?,?,?,China,?,DESCONHECIDA,?,modelagem de projeto,SIM,NAO,NAO,NAO,NAO,Subestacao
21,scopus,Liu R 2 (84  52),2020,SIM,NAO,NAO,SIM,SIM,NAO,SIM,NAO,NAO,SIM,SIM,NAO,NAO,NAO,3,5D,China,?,DESCONHECIDA,inovacao,software de projeto,NAO,SIM,NAO,NAO,NAO,Subestacao
22,scopus,Luo W et al,2020,SIM,SIM,NAO,SIM,SIM,NAO,SIM,NAO,NAO,NAO,SIM,NAO,NAO,NAO,3,5D,China,?,China,composto,software de projeto,SIM,SIM,NAO,SIM,NAO,Subestacao
23,scopus,Pan Zeyu et al,2020,SIM,?,?,?,?,SIM,SIM,SIM,SIM,?,?,?,?,?,?,?,China,?,China,inovacao,schema,SIM,SIM,SIM,SIM,SIM,Subestacao
24,scopus,Shi Z et al,2020,SIM,SIM,NAO,NAO,SIM,SIM,SIM,SIM,SIM,NAO,NAO,SIM,NAO,NAO,1,3D,China,?,DESCONHECIDA,composto,software de projeto,SIM,SIM,SIM,SIM,SIM,Subestacao
25,scopus,Azevedo D M et al,2021,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,NAO,NAO,NAO,2,3D,Brasil,?,Brasil,inovacao (composto e revit),software de projeto,SIM,SIM,SIM,SIM,SIM,Subestacao
26,scopus,Oti HA et al,2021,SIM,SIM,NAO,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,SIM,NAO,3,4D+,Reino Unido,?,DESCONHECIDA,composto,software de projeto,SIM,NAO,NAO,NAO,SIM,Usina
27,scopus,Sun C 3,2021,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,NAO,NAO,NAO,NAO,2,3D,China,?,China,inovacao,software de projeto,NAO,NAO,SIM,SIM,NAO,Subestacao
28,scopus,Zhang D et al,2021,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,China,?,DESCONHECIDA,metodo matematico/estatistico,metodo fuzzy,?,?,?,?,?,Engenharia de Energia
29,acm,Love et al,2016,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Australia,Reino Unido,Felipinas,?,acesso a informacao,SIM,NAO,NAO,NAO,NAO,Usina
